eventid,eventname,sportscategory,eventdate,eventplace,eventcity,eventstate,eventzipcode,discount
104242075,"Harvard Crimson at RPI Engineers Hockey",Hockey,2019-11-22T19:00:00-0500,"Houston Field House",Troy,NY,12180,0
104236668,"Charleston Classic Session 4",Basketball,2019-11-22T19:00:00-0500,"TD Arena",Charleston,SC,29401,0
104303127,"Long Island Nets at Canton Charge",Basketball,2019-11-22T19:00:00-0500,"Canton Civic Center",Canton,OH,44702,0
104301453,"Wisconsin Herd at Westchester Knicks",Basketball,2019-11-22T19:00:00-0500,"Westchester County Center","White Plains",NY,10607,0
104300840,"Capital City Go-Go at Erie BayHawks",Basketball,2019-11-22T19:00:00-0500,"Erie Insurance Arena",Erie,PA,16501,0
104234534,"Chicago Wolves at Cleveland Monsters",Hockey,2019-11-22T19:00:00-0500,"Rocket Mortgage FieldHouse",Cleveland,OH,44115,0
104272910,"Atlanta Hawks at Detroit Pistons",Basketball,2019-11-22T19:00:00-0500,"Little Caesars Arena",Detroit,MI,48201,0
104215496,"New Jersey Devils at Pittsburgh Penguins",Hockey,2019-11-22T19:00:00-0500,"PPG Paints Arena",Pittsburgh,PA,15219,0
104272592,"Charlotte Hornets at Washington Wizards",Basketball,2019-11-22T19:00:00-0500,"Capital One Arena",Washington,DC,20004,0
104208139,"Newfoundland Growlers at Reading Royals",Hockey,2019-11-22T19:00:00-0500,"Santander Arena",Reading,PA,19602,0
104204719,"Maine Mariners at Norfolk Admirals",Hockey,2019-11-22T17:35:00-0500,Scope,Norfolk,VA,23510,0
104078917,"Empire Classic Friday Only",Basketball,2019-11-22T17:00:00-0500,"Madison Square Garden","New York",NY,10001,0
104237274,"Myrtle Beach Invitational Session 4",Basketball,2019-11-22T16:30:00-0500,"HTC Center",Conway,SC,29526,0
104237273,"Myrtle Beach Invitational Session 3",Basketball,2019-11-22T12:00:00-0500,"HTC Center",Conway,SC,29526,0
104236667,"Charleston Classic Session 3",Basketball,2019-11-22T12:00:00-0500,"TD Arena",Charleston,SC,29401,0
104276466,"New Orleans Pelicans at Phoenix Suns",Basketball,2019-11-21T20:30:00-0700,"Talking Stick Resort Arena",Phoenix,AZ,85004,0
104206694,"Hofstra Pride at UCLA Bruins Basketball",Basketball,2019-11-21T20:00:00-0800,"Pauley Pavilion","Los Angeles",CA,90095,0
104217370,"Edmonton Oilers at Los Angeles Kings",Hockey,2019-11-21T19:30:00-0800,"STAPLES Center","Los Angeles",CA,90015,0
104217359,"Winnipeg Jets at Dallas Stars",Hockey,2019-11-21T19:30:00-0600,"American Airlines Center",Dallas,TX,75219,0
104059105,"Indianapolis Colts at Houston Texans",Football,2019-11-21T19:20:00-0600,"NRG Stadium",Houston,TX,77054,0
104389531,"Fresno Monsters at Valencia Flyers",Hockey,2019-11-21T19:15:00-0800,"Ice Station Valencia","Santa Clarita",California,91355,0
104214730,"San Jose Sharks at Vegas Golden Knights",Hockey,2019-11-21T19:00:00-0800,"T-Mobile Arena","Las Vegas",NV,89158,0
104078916,"Empire Classic Thursday Only",Basketball,2019-11-21T19:00:00-0500,"Madison Square Garden","New York",NY,10001,0
